Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,139.7275,-102.99,90.0,top
C2,10n,C_0402_1005Metric,139.7175,-99.23,90.0,top
C5,1u,C_0402_1005Metric,138.9775,-109.89,180.0,top
C6,10u,C_0402_1005Metric,138.9775,-110.86,180.0,top
C7,100n,C_0402_1005Metric,138.9775,-111.83,180.0,top
C8,1u,C_0402_1005Metric,138.9775,-112.8,180.0,top
J3,USB3_A,USB-A-SMD_HC-USB3.0-C345-P,154.9225,-101.75,90.0,top
P1,USB_C_Plug,USB_C_Plug_Molex_105444,137.785,-101.74,90.0,top
R1,5k1,R_0402_1005Metric,139.7175,-101.11,-90.0,top
U1,CH334F,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,143.623686,-110.661581,90.0,top
U2,USBLC6-2SC6,SOT-23-6,149.09,-108.54,180.0,top
Y1,12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,149.0525,-112.09,180.0,top
